kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms
flow,single,1,64,0.030047296742522142,0.28558667444693125,0.10521253066415617
flow,H1,1,16,0.03485597920014623,0.34943730899080294,0.0997488771328182
flow,H2,1,16,0.040929631787924976,0.5611205936512963,0.07294266553574463
flow,H3,1,16,0.04182518140914684,0.6961934156384836,0.06007695630213435
flow,H4,1,16,0.048640568049710294,0.7882029317734037,0.06171071698537365
flow,H5,1,16,0.0671655046422,0.8487183557378343,0.07913756570495002
packed,single,1,64,0.08443139408412804,0.28558667444693125,0.29564192463684924
packed,H1,1,16,0.05843126497053248,0.34943730899080294,0.16721530147792651
packed,H2,1,16,0.0868015149951025,0.5611205936512963,0.15469315504938425
packed,H3,1,16,0.12480585846926207,0.6961934156384836,0.1792689440402159
packed,H4,1,16,0.1663945193924407,0.7882029317734037,0.2111061919270767
packed,H5,1,16,0.19787374562271345,0.8487183557378343,0.2331441806165388
