kind,step,factual_loss,teacher_loss
flow,1,0.004636463243514299,0.0009049848886206746
flow,2,0.003844127058982849,0.0008755517192184925
flow,3,0.003187668276950717,0.003443377558141947
flow,4,0.0026673192624002695,0.0012742220424115658
flow,5,0.0022583480458706617,0.002931378548964858
flow,6,0.0018998587038367987,0.001695448299869895
flow,7,0.001626526820473373,0.0019957281183451414
flow,8,0.001426971284672618,0.0021388346794992685
flow,9,0.0012918835273012519,0.003728982526808977
flow,10,0.001162471016868949,0.0031618918292224407
flow,11,0.001037550624459982,0.0027222991921007633
flow,12,0.0009505333146080375,0.002449000021442771
flow,13,0.0008888988522812724,0.0030998464208096266
flow,14,0.0008225131314247847,0.002929173642769456
flow,15,0.0007549889851361513,0.0028736963868141174
flow,16,0.0006907997303642333,0.003000762779265642
flow,17,0.000654671574011445,0.0030669262632727623
flow,18,0.0006397326942533255,0.0030351332388818264
flow,19,0.000619196449406445,0.002430008491501212
flow,20,0.0005933437496423721,0.0027693877927958965
flow,21,0.0005629588849842548,0.002806724514812231
flow,22,0.0005288860411383212,0.0022721781861037016
flow,23,0.0004931162693537772,0.0030963451135903597
flow,24,0.0004571997851599008,0.0030148965306580067
flow,25,0.0004409113898873329,0.0030336782801896334
flow,26,0.000440223200712353,0.002812357619404793
flow,27,0.0004556305648293346,0.002907857298851013
flow,28,0.000490076607093215,0.0026623664889484644
flow,29,0.0005419568042270839,0.0025078551843762398
flow,30,0.0006096658180467784,0.0023902507964521646
flow,31,0.0006852157530374825,0.0022847121581435204
flow,32,0.0007690215716138482,0.0018247331026941538
flow,33,0.0008532518986612558,0.0019041557097807527
flow,34,0.0009287296561524272,0.003053894732147455
flow,35,0.0009680824587121606,0.0026947355363518
flow,36,0.0009727694559842348,0.0020194901153445244
flow,37,0.0009717651410028338,0.002702362136915326
flow,38,0.0009408256155438721,0.0015687798149883747
flow,39,0.0009083646582439542,0.0017761834897100925
flow,40,0.0008782061631791294,0.0033572467509657145
flow,41,0.0008283547940663993,0.0017295501893386245
flow,42,0.0007860329933464527,0.003313284832984209
flow,43,0.0007289028726518154,0.0033380999229848385
flow,44,0.0006628248374909163,0.002021883148699999
flow,45,0.0006100880564190447,0.0019590698648244143
flow,46,0.0005692242411896586,0.002953481860458851
flow,47,0.0005214175907894969,0.0026041134260594845
flow,48,0.00047196767991408706,0.0021503884345293045
flow,49,0.00044046645052731037,0.0027064597234129906
flow,50,0.00040715685463510454,0.0021212652791291475
flow,51,0.000388048094464466,0.0021984120830893517
flow,52,0.00038191411294974387,0.002816590713337064
flow,53,0.00037102901842445135,0.0021925203036516905
flow,54,0.0003549124812707305,0.0021353764459490776
flow,55,0.00034924515057355165,0.00272166240029037
flow,56,0.00033707034890539944,0.0028699717950075865
flow,57,0.00032002103398554027,0.00332719087600708
flow,58,0.00029990417533554137,0.0023708681110292673
flow,59,0.00029254367109388113,0.0020603162702172995
flow,60,0.000295336329145357,0.002077866345643997
flow,61,0.0003068253572564572,0.0022343227174133062
flow,62,0.00032811006531119347,0.0026717239525169134
flow,63,0.00034209046862088144,0.0021555577404797077
flow,64,0.0003468949580565095,0.002749650739133358
flow,65,0.00034268584568053484,0.001958275679498911
flow,66,0.00034661171957850456,0.002059877384454012
flow,67,0.00036041848943568766,0.0018536853604018688
flow,68,0.0003784499713219702,0.0019438754534348845
flow,69,0.00040471868123859167,0.001805754262022674
flow,70,0.00043492711847648025,0.001860330463387072
flow,71,0.00046847271732985973,0.0027335891500115395
flow,72,0.0004848555545322597,0.0024327398277819157
