sample_idx,mpc_iter,adajepa_step,loss
0,1,1,0.006578671745955944
0,2,1,0.006151755806058645
0,3,1,0.007296521682292223
0,4,1,0.006584994029253721
0,5,1,0.005606203339993954
0,6,1,0.006287917494773865
0,7,1,0.006049202289432287
0,8,1,0.006249274592846632
0,9,1,0.006021957378834486
0,10,1,0.005446750205010176
0,11,1,0.004464689642190933
