kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms,split,sample
flow,single,1,64,0.04600141146099605,0.27799128493951214,0.1654778906864129,L,0
flow,H1,1,16,0.04562709885580447,0.3239596952039707,0.14084189956740403,L,0
flow,H2,1,16,0.08048843598993094,0.5965139655247439,0.1349313522259727,L,0
flow,H3,1,16,0.08116951816944656,0.8156164263862946,0.09951922931356316,L,0
flow,H4,1,16,0.10034812665962198,0.9820656102010512,0.10218067470978688,L,0
flow,H5,1,16,0.09729576333315863,1.0689436798389915,0.09102047672690641,L,0
flow,single,2,64,0.04625047364973551,0.27799128493951214,0.16637382592694985,L,0
flow,H1,2,16,0.04573726764415594,0.3239596952039707,0.14118196899573865,L,0
flow,H2,2,16,0.07994998879755412,0.5965139655247439,0.13402869575270276,L,0
flow,H3,2,16,0.08095948534238075,0.8156164263862946,0.09926171509453695,L,0
flow,H4,2,16,0.10059238153944747,0.9820656102010512,0.10242939014925277,L,0
flow,H5,2,16,0.09766826078940874,1.0689436798389915,0.09136894920798812,L,0
packed,single,1,64,0.07039977110075113,0.27799128493951214,0.25324452569104583,L,0
packed,H1,1,16,0.05772564265759535,0.3239596952039707,0.1781877298694526,L,0
packed,H2,1,16,0.1444585011370502,0.5965139655247439,0.24217119713194366,L,0
packed,H3,1,16,0.16204577082952146,0.8156164263862946,0.19867889560229735,L,0
packed,H4,1,16,0.14709122523022616,0.9820656102010512,0.1497773913497625,L,0
packed,H5,1,16,0.13885287440452965,1.0689436798389915,0.12989727805439122,L,0
