kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms
flow,single,1,64,0.03565416089631859,0.28367274589442315,0.12568765033771803
flow,H1,1,16,0.028033510220932655,0.2669587310389932,0.10501065131613152
flow,H2,1,16,0.05039261926726426,0.5430091458669156,0.09280252395530522
flow,H3,1,16,0.06825499740275937,0.8708054274935274,0.0783814561184125
flow,H4,1,16,0.08961547482423383,1.186269825648096,0.07554392170033838
flow,H5,1,16,0.11584440498588797,1.4380356992924672,0.08055739161613648
packed,single,1,64,0.04421695039992583,0.28367274589442315,0.15587310039429175
packed,H1,1,16,0.05168650546480733,0.2669587310389932,0.19361234323989113
packed,H2,1,16,0.09220231086754224,0.5430091458669156,0.1697988175140973
packed,H3,1,16,0.15314213306566812,0.8708054274935274,0.17586263042303604
packed,H4,1,16,0.24552351113128115,1.186269825648096,0.2069710497754118
packed,H5,1,16,0.31346794663232097,1.4380356992924672,0.21798342474150773
