kind,step,loss
flow,1,0.07928825169801712
flow,2,0.06931177526712418
flow,3,0.05321648716926575
flow,4,0.032601386308670044
flow,5,0.016924479976296425
flow,6,0.012820865958929062
flow,7,0.015264512039721012
flow,8,0.01687108539044857
flow,9,0.36239227652549744
flow,10,0.008937117643654346
flow,11,0.08804233372211456
flow,12,0.18874436616897583
flow,13,0.017675334587693214
flow,14,0.022945767268538475
flow,15,0.11488070338964462
flow,16,0.1034732460975647
flow,17,0.04568013548851013
flow,18,0.0515490397810936
flow,19,0.05033595487475395
flow,20,0.045763157308101654
flow,21,0.03882083669304848
flow,22,0.029454413801431656
flow,23,0.021242205053567886
flow,24,0.014044541865587234
flow,25,0.09040895104408264
flow,26,0.010280776768922806
flow,27,0.008788581937551498
flow,28,0.008475204929709435
flow,29,0.007544656749814749
flow,30,0.008233444765210152
flow,31,0.0069736093282699585
flow,32,0.006341834086924791
flow,33,0.005802827887237072
flow,34,0.004917058162391186
flow,35,0.00505665922537446
flow,36,0.08062458038330078
flow,37,0.005286349914968014
flow,38,0.005873311776667833
flow,39,0.0056684925220906734
flow,40,0.005372748244553804
flow,41,0.03860272094607353
flow,42,0.005669335834681988
flow,43,0.0051392000168561935
flow,44,0.02942664548754692
flow,45,0.004299557767808437
flow,46,0.02567293308675289
flow,47,0.003590808715671301
flow,48,0.0049304962158203125
flow,49,0.004339622333645821
flow,50,0.003983974922448397
flow,51,0.017328081652522087
flow,52,0.018818052485585213
flow,53,0.020701002329587936
flow,54,0.021169835701584816
flow,55,0.004863807000219822
flow,56,0.005163157358765602
flow,57,0.00468026427552104
flow,58,0.004991472698748112
flow,59,0.004623606335371733
flow,60,0.003675090614706278
flow,61,0.00732797896489501
flow,62,0.0034731426276266575
flow,63,0.006203141063451767
flow,64,0.0035697566345334053
flow,65,0.013744348660111427
flow,66,0.013506637886166573
flow,67,0.012336580082774162
flow,68,0.011665518395602703
flow,69,0.004047246649861336
flow,70,0.003709410782903433
flow,71,0.0033357106149196625
flow,72,0.01113939844071865
flow,73,0.003574257716536522
flow,74,0.0030343648977577686
flow,75,0.009537226520478725
flow,76,0.008002067916095257
flow,77,0.003822535276412964
flow,78,0.010451101697981358
flow,79,0.0037887804210186005
flow,80,0.009503974579274654
flow,81,0.00849069096148014
flow,82,0.007345849648118019
flow,83,0.004046357702463865
flow,84,0.002860215026885271
flow,85,0.002675787778571248
flow,86,0.008961141109466553
flow,87,0.008798632770776749
flow,88,0.0030302205123007298
flow,89,0.0027032592333853245
flow,90,0.007105437573045492
flow,91,0.007608904503285885
flow,92,0.002831973135471344
flow,93,0.00294614234007895
flow,94,0.0026480278465896845
flow,95,0.0024303714744746685
flow,96,0.0027096611447632313
flow,97,0.0021064607426524162
flow,98,0.002511619823053479
flow,99,0.0026109078899025917
flow,100,0.00763332424685359
flow,101,0.006745258811861277
flow,102,0.002162536606192589
flow,103,0.0018696098122745752
flow,104,0.0023803007788956165
flow,105,0.006284814327955246
flow,106,0.00228010187856853
flow,107,0.006504126358777285
flow,108,0.0021266150288283825
flow,109,0.002176036825403571
flow,110,0.0019073376897722483
flow,111,0.005057552829384804
flow,112,0.002008044859394431
flow,113,0.004282068461179733
flow,114,0.005580536089837551
flow,115,0.004882587119936943
flow,116,0.0023215608671307564
flow,117,0.0018862695433199406
flow,118,0.0020976101513952017
flow,119,0.002527025993913412
flow,120,0.003720640204846859
flow,121,0.00477366428822279
flow,122,0.0020061200484633446
flow,123,0.003988564945757389
flow,124,0.003594503737986088
flow,125,0.0033547915518283844
flow,126,0.0038008284755051136
flow,127,0.0021319552324712276
flow,128,0.0034228044096380472
flow,129,0.002010778523981571
flow,130,0.00432872399687767
flow,131,0.0044371867552399635
flow,132,0.003866941202431917
flow,133,0.002948011737316847
flow,134,0.001936612417921424
flow,135,0.00452630128711462
flow,136,0.0020620818249881268
flow,137,0.0018864895682781935
flow,138,0.0028626564890146255
flow,139,0.0016825349302962422
flow,140,0.0016523678787052631
flow,141,0.0036964579485356808
flow,142,0.003932877443730831
flow,143,0.001952650723978877
flow,144,0.003634626278653741
flow,145,0.0015948599902912974
flow,146,0.001984916627407074
flow,147,0.0035141503904014826
flow,148,0.0034816227853298187
flow,149,0.00309132132679224
flow,150,0.0017269558738917112
flow,151,0.0021006849128752947
flow,152,0.0018533084075897932
flow,153,0.0033912197686731815
flow,154,0.0031762076541781425
flow,155,0.0017366993706673384
flow,156,0.001667041564360261
flow,157,0.0014227523934096098
flow,158,0.0030521233566105366
flow,159,0.003416108898818493
flow,160,0.0015487517230212688
flow,161,0.0031107228714972734
flow,162,0.0015279288636520505
flow,163,0.003155587939545512
flow,164,0.0013125550467520952
flow,165,0.002740736585110426
flow,166,0.0016215918585658073
flow,167,0.0029835402965545654
flow,168,0.001531543442979455
flow,169,0.0015234401216730475
flow,170,0.0014957331586629152
flow,171,0.0034215098712593317
flow,172,0.0013483855873346329
flow,173,0.003137684427201748
flow,174,0.001354922424070537
flow,175,0.001495604868978262
flow,176,0.001423708163201809
flow,177,0.0029874956235289574
flow,178,0.0013562599197030067
flow,179,0.0012683614622801542
flow,180,0.0012955419952049851
flow,181,0.0029376521706581116
flow,182,0.0010386963840574026
flow,183,0.0013198570813983679
flow,184,0.0013383971527218819
flow,185,0.0013862412888556719
flow,186,0.0012676133774220943
flow,187,0.003201992716640234
flow,188,0.0027877776883542538
flow,189,0.0029317429289221764
flow,190,0.003027714556083083
flow,191,0.002788641955703497
flow,192,0.0014982126886025071
flow,193,0.0012671882286667824
flow,194,0.0013476875610649586
flow,195,0.0012737070210278034
flow,196,0.002994376700371504
flow,197,0.0011249394156038761
flow,198,0.0013163939584046602
flow,199,0.0010452107526361942
flow,200,0.0010714109521359205
flow,201,0.0010234987130388618
flow,202,0.00306145241484046
