arm,queries,rms,visual_mse,proprio_mse,split,sample,scope
F0,1,0.09539141544120772,0.0068602426908910275,0.0022392794489860535,L,1,support_0_5
F0,1,0.08436778758491133,0.005101107992231846,0.0020168155897408724,L,1,hold_TF_5_10
F0,4,0.08908636416262651,0.00575163634493947,0.002184743934776634,L,1,hold_overlapping_1_6_to_4_9
F0,1,0.1292570121114372,0.011509416624903679,0.005197958555072546,L,1,hold_self_history_H2_0_10
flow0,1,0.10855493761015278,0.007437506224960089,0.004346668254584074,L,1,support_0_5
flow0,1,0.4092300857424613,0.12176641076803207,0.04570285230875015,L,1,hold_TF_5_10
flow0,4,0.10185351396177106,0.007189562544226646,0.0031845757621340454,L,1,hold_overlapping_1_6_to_4_9
flow0,1,0.37400642535611184,0.10559356212615967,0.03428724408149719,L,1,hold_self_history_H2_0_10
flowD,1,0.02236545718218406,0.0003712393227033317,0.00012897435226477683,L,1,support_0_5
flowD,1,0.41854740355433306,0.1290200650691986,0.04616186395287514,L,1,hold_TF_5_10
flowD,4,0.08598177078404702,0.004185729252640158,0.0032071356545202434,L,1,hold_overlapping_1_6_to_4_9
flowD,1,0.40283168908306966,0.12253664433956146,0.03973672538995743,L,1,hold_self_history_H2_0_10
packed0,1,0.10959601848722052,0.007916437461972237,0.004094849806278944,L,1,support_0_5
packed0,1,0.5083394910746885,0.1915893405675888,0.0668196976184845,L,1,hold_TF_5_10
packed0,4,0.12226743755809935,0.011710761580616236,0.0032385647064074874,L,1,hold_overlapping_1_6_to_4_9
packed0,1,0.5315867752001991,0.221269890666008,0.06131460890173912,L,1,hold_self_history_H2_0_10
packedD,1,0.021391107011562636,0.0002705500228330493,0.0001870294363470748,L,1,support_0_5
packedD,1,0.49866972479221466,0.18311521410942078,0.06555628031492233,L,1,hold_TF_5_10
packedD,4,0.1145301789903964,0.00842676660977304,0.0046903952897991985,L,1,hold_overlapping_1_6_to_4_9
packedD,1,0.5048924708964391,0.19079983234405518,0.06411657482385635,L,1,hold_self_history_H2_0_10
