phase,split,run_path,action_unit_version,adaptation_buffer_ids,arm,encoder_version,model_version,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,mpc_iter,objective_stage,gd_iter,endpoint_candidate_id,c_model_initial,c_env_initial,c_model_endpoint,c_env_endpoint,g_model,g_env,omega,best_so_far_model_candidate_id,best_so_far_env_candidate_id,best_so_far_r_selected
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,49,g49_after,0.021274248138070107,0.026301439851522446,0.00324835954234004,0.00985931046307087,0.018025888595730066,0.016442129388451576,0.00158375920727849,g49_after,g24_before,0.00015054643154144287
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,74,g74_after,0.021274248138070107,0.026301439851522446,0.003190364222973585,0.010125887580215931,0.01808388391509652,0.016175552271306515,0.0019083316437900066,g74_before,g74_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",FROZEN,0,0,0,0,s0_history_mpc2,dev_valL_frozen_n3,0,1,L,2,terminal,99,g99_after,0.021274248138070107,0.026301439851522446,0.003187054069712758,0.009054004214704037,0.01808719406835735,0.01724743563681841,0.0008397584315389395,g99_after,g99_after,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",FROZEN,0,0,0,0,s0_history_mpc3,dev_valL_frozen_n3,0,1,L,3,terminal,0,g0_after,0.021216241642832756,0.019608676433563232,0.06241093575954437,0.15208952128887177,-0.041194694116711617,-0.13248084485530853,0.09128615073859692,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",FROZEN,0,0,0,0,s0_history_mpc3,dev_valL_frozen_n3,0,1,L,3,terminal,24,g24_after,0.021216241642832756,0.019608676433563232,0.004927255678921938,0.0029035904444754124,0.016288985963910818,0.01670508598908782,-0.00041610002517700195,g24_after,g24_before,0.00043048616498708725
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",FROZEN,0,0,0,0,s0_history_mpc3,dev_valL_frozen_n3,0,1,L,3,terminal,49,g49_after,0.021216241642832756,0.019608676433563232,0.0031899488531053066,0.005084378179162741,0.01802629278972745,0.014524298254400492,0.0035019945353269577,g49_after,g24_before,0.0026112738996744156
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",FROZEN,0,0,0,0,s0_history_mpc3,dev_valL_frozen_n3,0,1,L,3,terminal,74,g74_after,0.021216241642832756,0.019608676433563232,0.0031297497916966677,0.004000354092568159,0.01808649185113609,0.015608322340995073,0.002478169510141015,g74_before,g24_before,0.0013764817267656326
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2""]",FROZEN,0,0,0,0,s0_history_mpc3,dev_valL_frozen_n3,0,1,L,3,terminal,99,g99_after,0.021216241642832756,0.019608676433563232,0.003124766517430544,0.005389093421399593,0.018091475125402212,0.014219583012163639,0.003871892113238573,g99_before,g24_before,0.0029159877449274063
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3""]",FROZEN,0,0,0,0,s0_history_mpc4,dev_valL_frozen_n3,0,1,L,4,terminal,0,g0_after,0.024430319666862488,0.017256686463952065,0.047749653458595276,0.11116596311330795,-0.023319333791732788,-0.09390927664935589,0.0705899428576231,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3""]",FROZEN,0,0,0,0,s0_history_mpc4,dev_valL_frozen_n3,0,1,L,4,terminal,24,g24_after,0.024430319666862488,0.017256686463952065,0.00388181209564209,0.010046806186437607,0.020548507571220398,0.007209880277514458,0.01333862729370594,g24_after,g24_before,0.004692437592893839
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3""]",FROZEN,0,0,0,0,s0_history_mpc4,dev_valL_frozen_n3,0,1,L,4,terminal,49,g49_after,0.024430319666862488,0.017256686463952065,0.003240792313590646,0.014894479885697365,0.021189527353271842,0.0023622065782546997,0.018827320775017142,g49_before,g24_before,0.00985555024817586
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3""]",FROZEN,0,0,0,0,s0_history_mpc4,dev_valL_frozen_n3,0,1,L,4,terminal,74,g74_after,0.024430319666862488,0.017256686463952065,0.0030858791433274746,0.011481722816824913,0.021344440523535013,0.0057749636471271515,0.015569476876407862,g74_after,g24_before,0.006127354223281145
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3""]",FROZEN,0,0,0,0,s0_history_mpc4,dev_valL_frozen_n3,0,1,L,4,terminal,99,g99_after,0.024430319666862488,0.017256686463952065,0.0030782134272158146,0.010635110549628735,0.021352106239646673,0.00662157591432333,0.014730530325323343,g99_after,g24_before,0.005280741956084967
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4""]",FROZEN,0,0,0,0,s0_history_mpc5,dev_valL_frozen_n3,0,1,L,5,full_horizon,0,g0_after,0.00314932013861835,0.003983406350016594,0.007703689858317375,0.00930040143430233,-0.004554369719699025,-0.005316995084285736,0.0007626253645867109,g0_before,g0_before,0.0
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4""]",FROZEN,0,0,0,0,s0_history_mpc5,dev_valL_frozen_n3,0,1,L,5,full_horizon,24,g24_after,0.00314932013861835,0.003983406350016594,0.001099407789297402,0.000877214246429503,0.002049912349320948,0.003106192103587091,-0.0010562797542661428,g24_after,g24_before,0.00012492947280406952
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1"", ""s0_executed_mpc2"", ""s0_executed_mpc3"", ""s0_executed_mpc4""]",FROZEN,0,0,0,0,s0_history_mpc5,dev_valL_frozen_n3,0,1,L,5,full_horizon,49,g49_after,0.00314932013861835,0.003983406350016594,0.0009962928015738726,0.0008653207332827151,0.0021530273370444775,0.003118085616733879,-0.0009650582796894014,g49_after,g24_before,0.00011303595965728164
