phase,split,run_path,action_unit_version,adaptation_buffer_ids,arm,encoder_version,model_version,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,mpc_iter,objective_stage,pool_size,model_best_candidate_id,env_best_candidate_id,final_record_candidate_id,r_selected,r_final_record,eta_model_final_record,error_oscillation,numerical_tie_epsilon,model_tie_count_epsilon,r_selected_tie_min,r_selected_tie_max,model_best_margin,selected_bound_slack,final_bound_slack,g_model_final,g_env_final,omega_final
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3""]",FROZEN,0,0,0,0,s1_history_mpc4,dev_valL_frozen_n3,1,101,L,4,terminal,10,g99_after,g24_after,g99_after,0.012078325264155865,0.012078325264155865,0.0,0.029154804535210133,1e-06,2,0.012078317813575268,0.012078325264155865,1.0710209608078003e-08,0.017076479271054268,0.017076479271054268,0.05424990924075246,0.05527021735906601,-0.001020308118313551
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s1_executed_mpc0"", ""s1_executed_mpc1"", ""s1_executed_mpc2"", ""s1_executed_mpc3"", ""s1_executed_mpc4""]",FROZEN,0,0,0,0,s1_history_mpc5,dev_valL_frozen_n3,1,101,L,5,full_horizon,10,g99_after,g24_after,g99_after,0.01967818522825837,0.01967818522825837,0.0,0.04415807966142893,1e-06,2,0.01967818522825837,0.01967818522825837,2.561137080192566e-09,0.024479894433170557,0.024479894433170557,0.007490549702197313,-0.012437599711120129,0.019928149413317442
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,[],FROZEN,0,0,0,0,s2_history_mpc0,dev_valL_frozen_n3,2,201,L,0,terminal,10,g99_after,g99_after,g99_after,0.0,0.0,0.0,0.10288976784795523,1e-06,2,0.0,1.862645149230957e-09,2.0954757928848267e-08,0.10288976784795523,0.10288976784795523,1.002483633812517,1.0276599526405334,-0.02517631882801652
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc0""]",FROZEN,0,0,0,0,s2_history_mpc1,dev_valL_frozen_n3,2,201,L,1,terminal,10,g99_after,g49_before,g99_after,0.0018386049196124077,0.0018386049196124077,0.0,0.004860698711127043,1e-06,2,0.0018386049196124077,0.0018386095762252808,3.259629011154175e-09,0.003022093791514635,0.003022093791514635,0.03872555494308472,0.038714827969670296,1.0726973414421082e-05
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc5"", ""s2_executed_mpc6"", ""s2_executed_mpc7"", ""s2_executed_mpc8"", ""s2_executed_mpc9""]",FROZEN,0,0,0,0,s2_history_mpc10,dev_valL_frozen_n3,2,201,L,10,full_horizon,10,g99_after,g49_after,g99_after,0.0003259119112044573,0.0003259119112044573,0.0,0.0012250504223629832,1e-06,2,0.00032590911723673344,0.0003259119112044573,4.656612873077393e-10,0.0008991385111585259,0.0008991385111585259,0.002583692781627178,0.002353251911699772,0.0002304408699274063
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc6"", ""s2_executed_mpc7"", ""s2_executed_mpc8"", ""s2_executed_mpc9"", ""s2_executed_mpc10""]",FROZEN,0,0,0,0,s2_history_mpc11,dev_valL_frozen_n3,2,201,L,11,full_horizon,10,g99_after,g24_after,g99_after,0.0005986741743981838,0.0005986741743981838,0.0,0.0008923079585656524,1e-06,3,0.0005986737087368965,0.0006030509248375893,4.656612873077393e-10,0.00029363378416746855,0.00029363378416746855,0.0027655548183247447,0.0018970323726534843,0.0008685224456712604
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc7"", ""s2_executed_mpc8"", ""s2_executed_mpc9"", ""s2_executed_mpc10"", ""s2_executed_mpc11""]",FROZEN,0,0,0,0,s2_history_mpc12,dev_valL_frozen_n3,2,201,L,12,full_horizon,10,g99_after,g24_after,g99_after,0.0006677736528217793,0.0006677736528217793,0.0,0.00108515121974051,1e-06,2,0.00066777179017663,0.0006677736528217793,2.3283064365386963e-10,0.00041737756691873074,0.00041737756691873074,0.0026219079736620188,0.0019939569756388664,0.0006279509980231524
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc8"", ""s2_executed_mpc9"", ""s2_executed_mpc10"", ""s2_executed_mpc11"", ""s2_executed_mpc12""]",FROZEN,0,0,0,0,s2_history_mpc13,dev_valL_frozen_n3,2,201,L,13,full_horizon,10,g99_after,g49_before,g99_after,0.0005920538678765297,0.0005920538678765297,0.0,0.0010237202513962984,1e-06,2,0.0005920496769249439,0.0005920538678765297,4.656612873077393e-10,0.0004316663835197687,0.0004316663835197687,0.002650328795425594,0.0017530382610857487,0.0008972905343398452
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc9"", ""s2_executed_mpc10"", ""s2_executed_mpc11"", ""s2_executed_mpc12"", ""s2_executed_mpc13""]",FROZEN,0,0,0,0,s2_history_mpc14,dev_valL_frozen_n3,2,201,L,14,full_horizon,10,g99_after,g24_after,g99_after,0.0007075839675962925,0.0007075839675962925,0.0,0.0010338114807382226,1e-06,3,0.0007075811736285686,0.0007817018777132034,4.656612873077393e-10,0.0003262275131419301,0.0003262275131419301,0.002737058326601982,0.0019841529428958893,0.0007529053837060928
development,val_L,D:\EV-TTT\adajepa_official_51d8665\artifacts\development\val_L_frozen_n3,pushobj_norm_envapi_v1,"[""s2_executed_mpc10"", ""s2_executed_mpc11"", ""s2_executed_mpc12"", ""s2_executed_mpc13"", ""s2_executed_mpc14""]",FROZEN,0,0,0,0,s2_history_mpc15,dev_valL_frozen_n3,2,201,L,15,full_horizon,10,g99_after,g24_after,g99_after,0.0005587455816566944,0.0005587455816566944,0.0,0.0010682980064302683,1e-06,2,0.000558741856366396,0.0005587455816566944,5.820766091346741e-10,0.0005095524247735739,0.0005095524247735739,0.0026230611838400364,0.001989563461393118,0.0006334977224469185
