split,sample,passed,single_relative_rms,H5_relative_rms,H5_refinement_rms,decision
T,0,True,0.17043939523756138,0.1461127744469618,0.003401580626345347,ELIGIBLE_FOR_D_FORMATION
T,1,True,0.1562820384990555,0.15201042318768085,0.010784781335924046,ELIGIBLE_FOR_D_FORMATION
L,0,True,0.1654778906864129,0.09102047672690641,0.0022270374078538304,ELIGIBLE_FOR_D_FORMATION
L,1,True,0.18703819336246566,0.13345262177179704,0.0014011410189466536,ELIGIBLE_FOR_D_FORMATION
