case_id,anchor_id,mpc,support_before,support_after,support_change,regret_before,regret_after,regret_change,selected_before,selected_after,oracle_id,true_cost_span,margin_before,margin_after,pair_mae_before,pair_mae_after,selected_oracle_true_gap,selected_oracle_predicted_gap_after,selected_oracle_pair_error_before,selected_oracle_pair_error_after,selected_oracle_pair_error_change,selected_oracle_anchor_change,selected_oracle_term0_change,selected_oracle_term1_change,selected_oracle_term2_change,selected_oracle_term3_change,selected_oracle_term4_change,switch_true_gap,switch_predicted_gap_before,switch_predicted_gap_after,switch_pair_error_change,switch_anchor_change,switch_term0_change,switch_term1_change,switch_term2_change,switch_term3_change,switch_term4_change
val_T|T|s0,val_T|T|s0|m2,2,0.005074666813015938,0.003075024113059044,-0.001999642699956894,0.0005211010575294495,0.0014587659388780594,0.0009376648813486099,g99_after,g49_before,g24_before,0.06304959766566753,1.3969838619232178e-09,1.6472768038511276e-05,0.007964965240615938,0.008622958873295122,0.0014587659388780594,-0.0016154050827026367,0.0019835899583995342,0.003074171021580696,0.0010905810631811619,3.3294782042503357e-07,0.00024026865139603615,0.0004166979342699051,0.00013745157048106194,0.00044640805572271347,-0.0001505780965089798,0.0009376555681228638,9.896396659314632e-05,-6.526568904519081e-05,0.00016422965563833714,2.0954757928848267e-08,6.416370160877705e-05,0.00012637535110116005,-6.289314478635788e-05,0.00016056746244430542,-0.00012400466948747635
val_T|T|s0,val_T|T|s0|m4,4,0.004657716490328312,0.002873052144423127,-0.0017846643459051847,0.004904971458017826,0.0037360722199082375,-0.0011688992381095886,g99_after,g49_before,g24_before,0.04188604187220335,3.259629011154175e-09,4.14019450545311e-05,0.004722174608872996,0.007080255790303151,0.0037360722199082375,-0.000661063939332962,0.006140836980193853,0.0043971361592411995,-0.0017437008209526539,-5.681067705154419e-08,-0.0009374804794788361,-0.00042244140058755875,-0.00034825457260012627,-0.00031420309096574783,0.00027873553335666656,-0.0011688992381095886,0.0002755364403128624,-0.0005669910460710526,0.000842527486383915,-6.752088665962219e-08,0.0003840397112071514,0.0002919821999967098,0.00010483432561159134,-2.393266186118126e-05,8.567143231630325e-05
val_T|T|s1,val_T|T|s1|m2,2,0.0023461070377379656,0.0012660074280574918,-0.0010800996096804738,0.002166936406865716,0.0022200855892151594,5.3149182349443436e-05,g99_after,g74_before,g49_after,0.01611697510816157,3.4924596548080444e-09,1.0543502867221832e-05,0.002333979153384765,0.0022639963775873185,0.0022200855892151594,-0.0005391640588641167,0.0023422720842063427,0.002759249648079276,0.0004169775638729334,-1.5366822481155396e-08,-1.326599158346653e-05,9.470013901591301e-05,0.00011650286614894867,6.80265948176384e-05,0.000151029322296381,5.3144991397857666e-05,1.2100907042622566e-05,-8.980510756373405e-05,0.00010190601460635662,4.656612873077393e-10,3.984547220170498e-05,-0.0002660471946001053,0.00027789734303951263,2.9966235160827637e-05,2.024369314312935e-05
val_T|T|s1,val_T|T|s1|m4,4,0.002469290280714631,0.0011284290812909603,-0.0013408611994236708,0.0,0.0003451639786362648,0.0003451639786362648,g99_after,g74_before,g99_after,0.018625391647219658,1.862645149230957e-09,2.813618630170822e-05,0.006621140251970954,0.001127705288430055,0.0003451639786362648,-0.0003337608650326729,0.0003273375332355499,0.0006789248436689377,0.00035158731043338776,-7.916241884231567e-09,7.712375372648239e-05,9.280676022171974e-05,8.540786802768707e-05,6.430456414818764e-05,3.1952280551195145e-05,0.0003451639786362648,1.7826445400714874e-05,-0.0003337608650326729,0.00035158731043338776,-7.916241884231567e-09,7.712375372648239e-05,9.280676022171974e-05,8.540786802768707e-05,6.430456414818764e-05,3.1952280551195145e-05
val_T|T|s2,val_T|T|s2|m2,2,0.006372000090777874,0.0044508022256195545,-0.0019211978651583195,0.0016831187531352043,0.00184678565710783,0.00016366690397262573,g99_after,g49_after,g74_before,0.012004143558442593,9.313225746154785e-10,6.189057603478432e-05,0.009291093703359366,0.010102489652733007,0.00184678565710783,-0.0001862156204879284,0.0016877632588148117,0.0020330012775957584,0.00034523801878094673,-6.984919309616089e-09,0.0002975873649120331,-5.112495273351669e-05,5.1703304052352905e-05,5.4150354117155075e-05,-7.071066647768021e-06,0.00016366690397262573,0.0001760590821504593,-9.17697325348854e-05,0.0002678288146853447,-6.51925802230835e-09,0.00020498037338256836,-2.961326390504837e-05,4.7217123210430145e-05,4.4181011617183685e-05,1.0700896382331848e-06
val_T|T|s2,val_T|T|s2|m4,4,0.005627557635307312,0.0036550797522068024,-0.0019724778831005096,0.008049217984080315,0.007793264463543892,-0.00025595352053642273,g99_after,g74_after,g0_before,0.018455805256962776,1.862645149230957e-09,2.7802307158708572e-05,0.00826123711756534,0.007878209257291423,0.007793264463543892,-0.014490125235170126,0.021439540199935436,0.022283389698714018,0.0008438494987785816,4.1443854570388794e-08,-0.00019509252160787582,0.0003847861662507057,0.0007158704102039337,-0.0004214290529489517,0.00035967305302619934,-0.00025595352053642273,1.0073650628328323e-05,-3.6339275538921356e-05,4.641292616724968e-05,-1.1175870895385742e-08,-9.078066796064377e-06,1.7099082469940186e-05,2.9453076422214508e-05,-1.6782432794570923e-06,1.062825322151184e-05
val_L|L|s0,val_L|L|s0|m2,2,0.004546905867755413,0.00303855212405324,-0.0015083537437021732,0.0,0.0,0.0,g99_after,g99_before,g99_after,0.13319839630275965,1.1641532182693481e-09,2.8870999813079834e-08,0.020582341226852603,0.01810177242797282,9.313225746154785e-10,-2.8870999813079834e-08,-2.3283064365386963e-10,2.9802322387695312e-08,3.003515303134918e-08,6.984919309616089e-10,1.909211277961731e-08,6.984919309616089e-09,1.6298145055770874e-08,-8.381903171539307e-09,-4.6566128730773926e-09,9.313225746154785e-10,1.1641532182693481e-09,-2.8870999813079834e-08,3.003515303134918e-08,6.984919309616089e-10,1.909211277961731e-08,6.984919309616089e-09,1.6298145055770874e-08,-8.381903171539307e-09,-4.6566128730773926e-09
val_L|L|s0,val_L|L|s0|m4,4,0.00467401510104537,0.0029426277615129948,-0.0017313873395323753,0.005280741956084967,0.00611875532194972,0.0008380133658647537,g99_after,g74_before,g24_before,0.10581159451976418,9.313225746154785e-10,1.8392223864793777e-05,0.016574025392118427,0.014528345006207624,0.00611875532194972,-0.0008813422173261642,0.007778966100886464,0.007000097539275885,-0.0007788685616105795,-1.1385418474674225e-07,-0.0004939308855682611,0.00018711085431277752,-1.3016164302825928e-05,-0.0002460554242134094,-0.00021286308765411377,0.0008380133658647537,9.986339136958122e-06,-6.63665123283863e-05,7.635285146534443e-05,1.6996636986732483e-08,-0.00018924172036349773,0.00030421908013522625,-0.00020922301337122917,4.855869337916374e-05,0.00012202281504869461
val_L|L|s1,val_L|L|s1|m2,2,0.006666550412774086,0.004151612985879183,-0.002514937426894903,0.008038841187953949,0.008038841187953949,0.0,g99_after,g99_after,g49_before,0.07642211765050888,8.381903171539307e-09,3.725290298461914e-09,0.01981443210194508,0.014363821368250582,0.008038859814405441,-0.000686032697558403,0.008612082339823246,0.008724892511963844,0.0001128101721405983,2.7939677238464355e-08,-2.6090070605278015e-05,8.46991315484047e-05,1.6763806343078613e-05,-2.020038664340973e-06,3.9429403841495514e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
val_L|L|s1,val_L|L|s1|m4,4,0.007137453183531761,0.004114799667149782,-0.003022653516381979,0.012078317813575268,0.012078317813575268,0.0,g99_after,g99_before,g24_after,0.10047620814293623,1.0710209608078003e-08,5.587935447692871e-09,0.009818748819331329,0.008658603175232808,0.012078317813575268,-0.000744982622563839,0.014056744053959846,0.012823300436139107,-0.0012334436178207397,6.100162863731384e-08,-0.00016124220564961433,-0.0002911491319537163,-0.0004006708040833473,-0.0001847362145781517,-0.00019570626318454742,-7.450580596923828e-09,1.0710209608078003e-08,-5.587935447692871e-09,1.6298145055770874e-08,-4.656612873077393e-10,8.381903171539307e-09,5.587935447692871e-09,-1.862645149230957e-09,3.725290298461914e-09,9.313225746154785e-10
