case_id,anchor_id,mpc,candidate_id,variant,model_cost,true_cost,anchor_shift,true_error
val_T|T|s0,val_T|T|s0|m2,2,g0_before,frozen,0.01677333563566208,0.02916865609586239,-2.7939677238464355e-06,0.01239532046020031
val_T|T|s0,val_T|T|s0|m2,2,g0_after,frozen,0.031096968799829483,0.08128388226032257,6.6123902797698975e-06,0.05018691346049309
val_T|T|s0,val_T|T|s0|m2,2,g24_before,frozen,0.004476700443774462,0.018234284594655037,-1.8258579075336456e-06,0.013757584150880575
val_T|T|s0,val_T|T|s0|m2,2,g24_after,frozen,0.004051839001476765,0.01956035941839218,-4.5355409383773804e-07,0.015508520416915417
val_T|T|s0,val_T|T|s0|m2,2,g49_before,frozen,0.003951876424252987,0.019693050533533096,3.3248215913772583e-07,0.01574117410928011
val_T|T|s0,val_T|T|s0|m2,2,g49_after,frozen,0.003921763971447945,0.018965603783726692,1.9790604710578918e-07,0.015043839812278748
val_T|T|s0,val_T|T|s0|m2,2,g74_before,frozen,0.003859196323901415,0.018635181710124016,7.194466888904572e-08,0.014775985386222601
val_T|T|s0,val_T|T|s0|m2,2,g74_after,frozen,0.003859272925183177,0.01865268498659134,8.591450750827789e-08,0.014793412061408162
val_T|T|s0,val_T|T|s0|m2,2,g99_before,frozen,0.0038529138546437025,0.018755385652184486,-7.2177499532699585e-09,0.014902471797540784
val_T|T|s0,val_T|T|s0|m2,2,g99_after,frozen,0.0038529124576598406,0.018755394965410233,-9.313225746154785e-09,0.014902482507750392
val_T|T|s0,val_T|T|s0|m2,2,g0_before,predictor_official_shadow,0.022979913279414177,0.02916865609586239,-1.5683472156524658e-06,0.006188742816448212
val_T|T|s0,val_T|T|s0|m2,2,g0_after,predictor_official_shadow,0.034595705568790436,0.08128388226032257,9.104609489440918e-06,0.046688176691532135
val_T|T|s0,val_T|T|s0|m2,2,g24_before,predictor_official_shadow,0.008929165080189705,0.018234284594655037,-6.379559636116028e-07,0.009305119514465332
val_T|T|s0,val_T|T|s0|m2,2,g24_after,predictor_official_shadow,0.008083166554570198,0.01956035941839218,9.452924132347107e-07,0.011477192863821983
val_T|T|s0,val_T|T|s0|m2,2,g49_before,predictor_official_shadow,0.007313759997487068,0.019693050533533096,1.8533319234848022e-06,0.012379290536046028
val_T|T|s0,val_T|T|s0|m2,2,g49_after,predictor_official_shadow,0.007359177805483341,0.018965603783726692,1.6945414245128632e-06,0.011606425978243351
val_T|T|s0,val_T|T|s0|m2,2,g74_before,predictor_official_shadow,0.007339716888964176,0.018635181710124016,1.5767291188240051e-06,0.01129546482115984
val_T|T|s0,val_T|T|s0|m2,2,g74_after,predictor_official_shadow,0.0073302327655255795,0.01865268498659134,1.6009435057640076e-06,0.01132245222106576
val_T|T|s0,val_T|T|s0|m2,2,g99_before,predictor_official_shadow,0.00737903593108058,0.018755385652184486,1.4738179743289948e-06,0.011376349721103907
val_T|T|s0,val_T|T|s0|m2,2,g99_after,predictor_official_shadow,0.007379025686532259,0.018755394965410233,1.4905817806720734e-06,0.011376369278877974
val_T|T|s0,val_T|T|s0|m4,4,g0_before,frozen,0.017078429460525513,0.03916049748659134,-4.1909515857696533e-07,0.022082068026065826
val_T|T|s0,val_T|T|s0|m4,4,g0_after,frozen,0.04820343106985092,0.056379284709692,-1.9744038581848145e-06,0.00817585363984108
val_T|T|s0,val_T|T|s0|m4,4,g24_before,frozen,0.007273819297552109,0.014493242837488651,-4.225410521030426e-06,0.0072194235399365425
val_T|T|s0,val_T|T|s0|m4,4,g24_after,frozen,0.006747658830136061,0.0155390789732337,-3.6670826375484467e-06,0.008791420143097639
val_T|T|s0,val_T|T|s0|m4,4,g49_before,frozen,0.004869054537266493,0.01822931505739689,-1.3308599591255188e-06,0.013360260520130396
val_T|T|s0,val_T|T|s0|m4,4,g49_after,frozen,0.004872801247984171,0.018165094777941704,-1.430511474609375e-06,0.013292293529957533
val_T|T|s0,val_T|T|s0|m4,4,g74_before,frozen,0.0046217539347708225,0.01846747100353241,-4.498288035392761e-07,0.013845717068761587
val_T|T|s0,val_T|T|s0|m4,4,g74_after,frozen,0.004618824925273657,0.018504532054066658,-4.1816383600234985e-07,0.013885707128793001
val_T|T|s0,val_T|T|s0|m4,4,g99_before,frozen,0.004593521356582642,0.01939822919666767,-5.08967787027359e-07,0.01480470784008503
val_T|T|s0,val_T|T|s0|m4,4,g99_after,frozen,0.0045935180969536304,0.019398214295506477,-5.094334483146667e-07,0.014804696198552847
val_T|T|s0,val_T|T|s0|m4,4,g0_before,predictor_official_shadow,0.01673729717731476,0.03916049748659134,1.7024576663970947e-06,0.02242320030927658
val_T|T|s0,val_T|T|s0|m4,4,g0_after,predictor_official_shadow,0.0634228065609932,0.056379284709692,-3.0547380447387695e-07,-0.007043521851301193
val_T|T|s0,val_T|T|s0|m4,4,g24_before,predictor_official_shadow,0.0069550881162285805,0.014493242837488651,-1.9869767129421234e-06,0.007538154721260071
val_T|T|s0,val_T|T|s0|m4,4,g24_after,predictor_official_shadow,0.0063354261219501495,0.0155390789732337,-1.4598481357097626e-06,0.00920365285128355
val_T|T|s0,val_T|T|s0|m4,4,g49_before,predictor_official_shadow,0.0062940241768956184,0.01822931505739689,8.507631719112396e-07,0.01193529088050127
val_T|T|s0,val_T|T|s0|m4,4,g49_after,predictor_official_shadow,0.006345782428979874,0.018165094777941704,7.576309144496918e-07,0.01181931234896183
val_T|T|s0,val_T|T|s0|m4,4,g74_before,predictor_official_shadow,0.007010865490883589,0.01846747100353241,1.7737038433551788e-06,0.011456605512648821
val_T|T|s0,val_T|T|s0|m4,4,g74_after,predictor_official_shadow,0.006998856086283922,0.018504532054066658,1.812819391489029e-06,0.011505675967782736
