mpc,cases,support_down,regret_improved,regret_worsened,regret_unchanged,mean_pair_mae_before,mean_pair_mae_after,mean_regret_before,mean_regret_after,median_true_cost_span,median_margin_after
2,6,6,0,4,2,0.01116722368169576,0.010012599817235712,0.002068332900914053,0.0024174062612776956,0.06973585765808821,1.3508135452866554e-05
4,6,6,2,2,2,0.00870043953742694,0.007265735348617589,0.005511736419672768,0.0054714571839819355,0.04802558710798621,2.3097265511751175e-05
