kind,scope,substeps,queries,rms,teacher_change_rms,relative_rms
flow,single,1,64,0.0447523444218551,0.469593081795536,0.09530026347649766
flow,H1,1,16,0.06664655835099748,0.4440350194772776,0.15009302290944185
flow,H2,1,16,0.08967380933408495,0.6424325702773875,0.13958478054026102
flow,H3,1,16,0.1148703288118575,0.7692556904460508,0.1493265896353009
flow,H4,1,16,0.13392308059290375,0.8773204484462518,0.1526501300979404
flow,H5,1,16,0.18671549151781544,0.9592452616988394,0.1946483334065567
packed,single,1,64,0.03819464999638193,0.469593081795536,0.08133563179921834
packed,H1,1,16,0.09954787674637695,0.4440350194772776,0.2241892471984883
packed,H2,1,16,0.09985380475811498,0.6424325702773875,0.15543079441784904
packed,H3,1,16,0.16230248244310594,0.7692556904460508,0.21098639172756106
packed,H4,1,16,0.18230882404964527,0.8773204484462518,0.20780186347248264
packed,H5,1,16,0.20389449644743451,0.9592452616988394,0.21255720991139843
