kind,step,factual_loss,teacher_loss
flow,1,0.007792329415678978,0.0033745120745152235
flow,2,0.00676642544567585,0.002150592627003789
flow,3,0.006080743856728077,0.0019734185189008713
flow,4,0.005529193207621574,0.0022311382927000523
flow,5,0.0049307579174637794,0.002241835230961442
flow,6,0.004337874241173267,0.0032714020926505327
flow,7,0.003793640062212944,0.0027595122810453176
flow,8,0.0033980365842580795,0.0032923747785389423
flow,9,0.003072404768317938,0.0025398354046046734
flow,10,0.002804327756166458,0.003370641265064478
flow,11,0.0025696950033307076,0.0025305338203907013
flow,12,0.0023607362527400255,0.0029515856876969337
flow,13,0.002174646593630314,0.0032252655364573
flow,14,0.0020130635239183903,0.002542068250477314
flow,15,0.001876883557997644,0.0050356024876236916
flow,16,0.0017621861770749092,0.005545790307223797
flow,17,0.0016873907297849655,0.00493150670081377
flow,18,0.0016483120853081346,0.004624617286026478
flow,19,0.001627741614356637,0.00263199326582253
flow,20,0.0015821193810552359,0.002026323229074478
flow,21,0.0015193518484011292,0.004002752248197794
flow,22,0.0014805798418819904,0.0026637576520442963
flow,23,0.0014477858785539865,0.004327292088419199
flow,24,0.0014369223499670625,0.002752993954345584
flow,25,0.0014112077187746763,0.004075980745255947
flow,26,0.0013862412888556719,0.003907499369233847
flow,27,0.0013715298846364021,0.0029241840820759535
flow,28,0.0013527096016332507,0.0022605154663324356
flow,29,0.0013262273278087378,0.0026316833682358265
flow,30,0.0012871109647676349,0.0027214325964450836
flow,31,0.0012328624725341797,0.004176838789135218
flow,32,0.0011962947901338339,0.002532544080168009
flow,33,0.0011424818076193333,0.002658494981005788
flow,34,0.0010804786579683423,0.004072784446179867
flow,35,0.0010386321227997541,0.0029046116396784782
flow,36,0.0009918223368003964,0.0031282934360206127
flow,37,0.0009425518219359219,0.004351179581135511
flow,38,0.0009139336762018502,0.0025764836464077234
flow,39,0.0008801334188319743,0.004398756194859743
flow,40,0.0008660204475745559,0.0036462058778852224
flow,41,0.0008660739986225963,0.0021557314321398735
flow,42,0.000855142658110708,0.0036456971429288387
flow,43,0.0008529138285666704,0.0039426242001354694
flow,44,0.0008652792312204838,0.004162041936069727
flow,45,0.000884150736965239,0.003686061128973961
flow,46,0.0009148415410891175,0.002665378153324127
flow,47,0.0009256791672669351,0.004101583734154701
