action_unit_version,adaptation_buffer_ids,arm,c_env_ref_after,c_env_ref_before,c_env_samever_after,c_env_samever_before,c_hat_native_after,c_hat_native_before,contrast_error,delta_env_ref,delta_env_samever,delta_pred,encoder_version,false_improvement,gd_iter,model_version,mpc_iter,objective_version,predictor_version,real_history_id,run_id,sample_id,seed,shape,sign_correct,sign_env,sign_pred
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.5041932463645935,0.76871657371521,0.5041932463645935,0.76871657371521,0.4178670644760132,0.671438455581665,0.0109519362449646,-0.26452332735061646,-0.26452332735061646,-0.25357139110565186,0,False,0,0,0,0,0,s0_history_mpc0,pass1_valT_s0_official,0,1,T,True,-1,-1
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.05752919614315033,0.06062638387084007,0.05752919614315033,0.06062638387084007,0.027507871389389038,0.02986576221883297,0.0007392968982458115,-0.003097187727689743,-0.003097187727689743,-0.0023578908294439316,0,False,24,0,0,0,0,s0_history_mpc0,pass1_valT_s0_official,0,1,T,True,-1,-1
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.017199330031871796,0.017065290361642838,0.017199330031871796,0.017065290361642838,0.005829726345837116,0.00593528151512146,-0.00023959483951330185,0.00013403967022895813,0.00013403967022895813,-0.00010555516928434372,0,True,49,0,0,0,0,s0_history_mpc0,pass1_valT_s0_official,0,1,T,False,1,-1
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.019219698384404182,0.01924208737909794,0.019219698384404182,0.01924208737909794,0.005130889359861612,0.005137383937835693,1.5894416719675064e-05,-2.2388994693756104e-05,-2.2388994693756104e-05,-6.4945779740810394e-06,0,False,74,0,0,0,0,s0_history_mpc0,pass1_valT_s0_official,0,1,T,True,-1,-1
pushobj_norm_envapi_v1,[],OFFICIAL_ADAJEPA,0.018729718402028084,0.018729714676737785,0.018729718402028084,0.018729714676737785,0.0050732046365737915,0.005073225125670433,-2.421438694000244e-08,3.725290298461914e-09,3.725290298461914e-09,-2.0489096641540527e-08,0,True,99,0,0,0,0,s0_history_mpc0,pass1_valT_s0_official,0,1,T,False,1,-1
pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",OFFICIAL_ADAJEPA,0.08629894256591797,0.03395645692944527,0.0864335224032402,0.03399182856082916,0.04616807401180267,0.021957505494356155,-0.028231125324964523,0.0523424856364727,0.05244169384241104,0.024210568517446518,1,False,0,1,1,0,1,s0_history_mpc1,pass1_valT_s0_official,0,1,T,True,1,1
pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",OFFICIAL_ADAJEPA,0.02005760557949543,0.01983874849975109,0.02007499895989895,0.019860966131091118,0.0063139391131699085,0.007175265345722437,-0.0010753590613603592,0.000218857079744339,0.0002140328288078308,-0.0008613262325525284,1,True,24,1,1,0,1,s0_history_mpc1,pass1_valT_s0_official,0,1,T,False,1,-1
pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",OFFICIAL_ADAJEPA,0.01861269399523735,0.01852099783718586,0.0186329148709774,0.01854122057557106,0.005488516762852669,0.005486227106302977,-8.94046388566494e-05,9.169615805149078e-05,9.169429540634155e-05,2.289656549692154e-06,1,False,49,1,1,0,1,s0_history_mpc1,pass1_valT_s0_official,0,1,T,True,1,1
pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",OFFICIAL_ADAJEPA,0.01672099530696869,0.016703154891729355,0.01673758588731289,0.016719747334718704,0.005293637048453093,0.005296391900628805,-2.059340476989746e-05,1.7840415239334106e-05,1.7838552594184875e-05,-2.7548521757125854e-06,1,True,74,1,1,0,1,s0_history_mpc1,pass1_valT_s0_official,0,1,T,False,1,-1
pushobj_norm_envapi_v1,"[""s0_executed_mpc0""]",OFFICIAL_ADAJEPA,0.017020655795931816,0.017020665109157562,0.017038311809301376,0.017038321122527122,0.00527894776314497,0.005278950557112694,6.51925802230835e-09,-9.313225746154785e-09,-9.313225746154785e-09,-2.7939677238464355e-09,1,False,99,1,1,0,1,s0_history_mpc1,pass1_valT_s0_official,0,1,T,True,-1,-1
pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",OFFICIAL_ADAJEPA,0.05743972957134247,0.02946377359330654,0.05737677961587906,0.029444849118590355,0.024061409756541252,0.01548636332154274,-0.01935688406229019,0.027975955978035927,0.027931930497288704,0.008575046434998512,2,False,0,2,2,0,2,s0_history_mpc2,pass1_valT_s0_official,0,1,T,True,1,1
pushobj_norm_envapi_v1,"[""s0_executed_mpc0"", ""s0_executed_mpc1""]",OFFICIAL_ADAJEPA,0.02242414280772209,0.022649921476840973,0.02239839918911457,0.02262531965970993,0.005555369891226292,0.0057645258493721485,1.7764512449502945e-05,-0.00022577866911888123,-0.0002269204705953598,-0.00020915595814585686,2,False,24,2,2,0,2,s0_history_mpc2,pass1_valT_s0_official,0,1,T,True,-1,-1
