arm,success,n_episodes,episode_mae_mean,episode_mae_sample_std,episode_thresholded_false_rate_mean,episode_thresholded_false_rate_sample_std
ALL,False,28,0.008575640371875904,0.00758037476091225,0.23035714285714284,0.08808590684171325
ALL,True,35,0.01977144640707044,0.018243679695494387,0.21558329998666134,0.08087830542282164
FROZEN,False,11,0.006964654575356027,0.0073047429694234976,0.19454545454545455,0.07711856279309624
FROZEN,True,10,0.019070314389609155,0.01761558102430091,0.1821269841269841,0.07898761029424146
OFFICIAL_ADAJEPA,False,8,0.00914737537765177,0.007471307093541728,0.26375,0.10595652747370364
OFFICIAL_ADAJEPA,True,13,0.020804259685401623,0.020291910097917358,0.23670829170829172,0.0854293716701508
PREDICTOR_ONLY,False,9,0.010036414118043872,0.008490970794457289,0.2444444444444444,0.07633988327065858
PREDICTOR_ONLY,True,12,0.019236842036762736,0.017990281710536994,0.22057815550462612,0.074699771071801
