phase,split,arm,mpc_iter,shape,n_contrasts,n_samples,aggregation_unit,mae,rmse,spearman,sign_accuracy,false_improvement_count,false_improvement_rate_all,predicted_improvement_count,false_improvement_rate_given_predicted_improvement,numerical_tie_epsilon,thresholded_sign_accuracy_all,thresholded_false_improvement_count,thresholded_false_improvement_rate_all,thresholded_predicted_improvement_count,thresholded_false_improvement_rate_given_predicted_improvement,mean_abs_delta_pred,mean_abs_delta_env_samever,max_env_worsening_under_predicted_improvement,encoder_coordinate_delta_mae
development,val_T,FROZEN,18,T,5,1,contrast (repeated within episode; not independent samples),0.0006027481285855174,0.0012486405627085233,-0.09999999999999999,0.6,0,0.0,1,0.0,1e-06,0.6,0,0.0,0,,0.0004493583692237735,0.00017045587301254273,0.0,0.0
development,val_T,FROZEN,19,T,5,1,contrast (repeated within episode; not independent samples),0.0006346983602270484,0.0013012142027343711,0.0,0.6,1,0.2,2,0.5,1e-06,0.6,0,0.0,0,,0.0004581279819831252,0.00019145179539918898,4.656612873077393e-10,0.0
development,val_T,OFFICIAL_ADAJEPA,0,T,15,3,contrast (repeated within episode; not independent samples),0.007548166283716758,0.017538485913445024,0.7178571428571427,0.6666666666666666,4,0.26666666666666666,14,0.2857142857142857,1e-06,0.7333333333333333,3,0.2,11,0.2727272727272727,0.0414023044363906,0.04384650990056495,0.00013403967022895813,0.0
development,val_T,OFFICIAL_ADAJEPA,1,T,15,3,contrast (repeated within episode; not independent samples),0.004838858048121134,0.011779194335581365,0.532142857142857,0.6666666666666666,4,0.26666666666666666,10,0.4,1e-06,0.6666666666666666,3,0.2,6,0.5,0.0032436788703004518,0.007965095279117426,0.0002140328288078308,1.3206961254278819e-05
development,val_T,OFFICIAL_ADAJEPA,2,T,15,3,contrast (repeated within episode; not independent samples),0.0071330300066620115,0.01710191916607845,0.6523684463773334,0.5333333333333333,5,0.3333333333333333,8,0.625,1e-06,0.6666666666666666,2,0.13333333333333333,5,0.4,0.005380685922379295,0.008842375377813976,0.0001847967505455017,2.8723105788230897e-05
development,val_T,OFFICIAL_ADAJEPA,3,T,15,3,contrast (repeated within episode; not independent samples),0.004388624538357059,0.01060935651269789,-0.12857142857142856,0.5333333333333333,5,0.3333333333333333,11,0.45454545454545453,1e-06,0.5333333333333333,4,0.26666666666666666,7,0.5714285714285714,0.002351195753241579,0.0037217782189448672,0.0032844766974449158,2.218969166278839e-06
development,val_T,OFFICIAL_ADAJEPA,4,T,15,3,contrast (repeated within episode; not independent samples),0.006095807851913075,0.012007876425972707,0.4428571428571427,0.6,4,0.26666666666666666,10,0.4,1e-06,0.6666666666666666,3,0.2,7,0.42857142857142855,0.00446555168988804,0.00900963981791089,0.01670052483677864,7.771852736671765e-05
development,val_T,OFFICIAL_ADAJEPA,5,T,15,3,contrast (repeated within episode; not independent samples),0.000625611007368813,0.0015023616293653277,0.49687240573396907,0.6,4,0.26666666666666666,10,0.4,1e-06,0.6,1,0.06666666666666667,4,0.25,0.0004884524503722786,0.0009823134479423365,5.131750367581844e-05,1.083539294389387e-05
development,val_T,OFFICIAL_ADAJEPA,6,T,10,2,contrast (repeated within episode; not independent samples),0.00047097145579755306,0.0012075743804909798,0.2121212121212121,0.4,5,0.5,6,0.8333333333333334,1e-06,0.5,2,0.2,2,1.0,0.00029247161000967026,0.0007445789640769362,0.00023495941422879696,2.6848865672945976e-06
development,val_T,OFFICIAL_ADAJEPA,7,T,5,1,contrast (repeated within episode; not independent samples),9.472658857703208e-05,0.00015631639296188074,0.7,0.8,1,0.2,4,0.25,1e-06,0.6,1,0.2,2,0.5,0.00026247999630868435,0.0003559520002454519,1.6032252460718155e-05,1.162756234407425e-06
development,val_T,OFFICIAL_ADAJEPA,8,T,5,1,contrast (repeated within episode; not independent samples),0.0005241759819909931,0.0010554336298400128,0.9999999999999999,0.8,0,0.0,2,0.0,1e-06,0.8,0,0.0,1,0.0,0.00031547651160508395,0.000839652493596077,0.0,5.971500650048256e-06
